idx,id,CODE_CULTU,path,meanCLD,sequencelength,classid,classname,region
65,6017343,BTH,csv/frh04/6017343.csv,720.9493162626298,49,1,wheat,frh04
66,6017344,PTR,csv/frh04/6017344.csv,710.6597192756157,49,8,temporary meadows,frh04
68,6017346,PTR,csv/frh04/6017346.csv,740.9878359264499,49,8,temporary meadows,frh04
72,6017350,PRL,csv/frh04/6017350.csv,733.1796409657279,101,7,permanent meadows,frh04
73,6017351,PRL,csv/frh04/6017351.csv,740.2774676256116,101,7,permanent meadows,frh04
74,6017352,PRL,csv/frh04/6017352.csv,726.5417874626603,101,7,permanent meadows,frh04
75,6017353,PTR,csv/frh04/6017353.csv,738.4765910386211,101,8,temporary meadows,frh04
76,6017354,PTR,csv/frh04/6017354.csv,737.8316245825765,101,8,temporary meadows,frh04
80,6017359,PTR,csv/frh04/6017359.csv,730.4774367711085,101,8,temporary meadows,frh04
82,6017362,PPH,csv/frh04/6017362.csv,750.1520894946638,101,7,permanent meadows,frh04
83,6017366,ORP,csv/frh04/6017366.csv,736.292507318448,101,0,barley,frh04
84,6017370,PPH,csv/frh04/6017370.csv,748.400410006871,101,7,permanent meadows,frh04
85,6017371,MIE,csv/frh04/6017371.csv,681.5135190005124,49,3,corn,frh04
86,6017372,BTH,csv/frh04/6017372.csv,689.9213335784764,49,1,wheat,frh04
88,6017374,MIS,csv/frh04/6017374.csv,668.734693877551,49,3,corn,frh04
89,6017375,RGA,csv/frh04/6017375.csv,647.8367346938776,49,8,temporary meadows,frh04
90,6017376,BTH,csv/frh04/6017376.csv,651.7697113119234,49,1,wheat,frh04
91,6017377,MIS,csv/frh04/6017377.csv,633.6423528254078,49,3,corn,frh04
92,6017378,RGA,csv/frh04/6017378.csv,646.0959832799188,49,8,temporary meadows,frh04
93,6017379,RGA,csv/frh04/6017379.csv,641.3755299221137,49,8,temporary meadows,frh04
95,6017381,MIS,csv/frh04/6017381.csv,650.9104112447235,49,3,corn,frh04
96,6017382,MIS,csv/frh04/6017382.csv,647.8367346938776,49,3,corn,frh04
97,6017383,MIS,csv/frh04/6017383.csv,647.8367346938776,49,3,corn,frh04
98,6017384,BTH,csv/frh04/6017384.csv,660.8874030184035,49,1,wheat,frh04
99,6066037,PTR,csv/frh04/6066037.csv,647.8367346938776,49,8,temporary meadows,frh04
101,6017387,BTH,csv/frh04/6017387.csv,564.5223044970201,49,1,wheat,frh04
102,6017388,RGA,csv/frh04/6017388.csv,647.8367346938776,49,8,temporary meadows,frh04
103,6017389,MIS,csv/frh04/6017389.csv,689.6326530612245,49,3,corn,frh04
104,6017390,ORH,csv/frh04/6017390.csv,685.09289060962,49,0,barley,frh04
105,6017391,PPH,csv/frh04/6017391.csv,669.0568204160277,49,7,permanent meadows,frh04
106,6017392,PTR,csv/frh04/6017392.csv,666.3633124752237,49,8,temporary meadows,frh04
107,6017393,PTR,csv/frh04/6017393.csv,670.3574046014894,49,8,temporary meadows,frh04
108,6017394,PTR,csv/frh04/6017394.csv,681.1949620143986,49,8,temporary meadows,frh04
109,6017395,PTR,csv/frh04/6017395.csv,686.89193710271,49,8,temporary meadows,frh04
110,6017396,PPH,csv/frh04/6017396.csv,668.734693877551,49,7,permanent meadows,frh04
111,6017397,MIE,csv/frh04/6017397.csv,684.3110494917153,49,3,corn,frh04
112,6017398,PTR,csv/frh04/6017398.csv,668.734693877551,49,8,temporary meadows,frh04
113,6017399,MIE,csv/frh04/6017399.csv,689.6032003029646,49,3,corn,frh04
114,6017400,MIS,csv/frh04/6017400.csv,668.734693877551,49,3,corn,frh04
115,6017401,BTH,csv/frh04/6017401.csv,668.7642860032712,49,1,wheat,frh04
117,6017403,PRL,csv/frh04/6017403.csv,676.0704000000001,50,7,permanent meadows,frh04
118,6017404,PRL,csv/frh04/6017404.csv,634.88,50,7,permanent meadows,frh04
119,6017405,PPH,csv/frh04/6017405.csv,667.2125984251968,50,7,permanent meadows,frh04
120,6017406,PRL,csv/frh04/6017406.csv,665.5964677474991,50,7,permanent meadows,frh04
121,6017407,PRL,csv/frh04/6017407.csv,679.2736266349583,50,7,permanent meadows,frh04
125,6017411,PRL,csv/frh04/6017411.csv,655.36,50,7,permanent meadows,frh04
126,6017412,PRL,csv/frh04/6017412.csv,689.608187872415,50,7,permanent meadows,frh04
127,6017413,PPH,csv/frh04/6017413.csv,617.4650950651952,49,7,permanent meadows,frh04
128,6017414,PPH,csv/frh04/6017414.csv,647.8367346938776,49,7,permanent meadows,frh04
129,6017415,PRL,csv/frh04/6017415.csv,647.8367346938776,49,7,permanent meadows,frh04
130,6017416,PRL,csv/frh04/6017416.csv,628.4202985379036,49,7,permanent meadows,frh04
131,6017417,PPH,csv/frh04/6017417.csv,670.6224272818456,50,7,permanent meadows,frh04
132,6017418,PRL,csv/frh04/6017418.csv,667.0915406162464,50,7,permanent meadows,frh04
133,6017419,PRL,csv/frh04/6017419.csv,675.84,50,7,permanent meadows,frh04
134,6017420,PPH,csv/frh04/6017420.csv,675.84,50,7,permanent meadows,frh04
136,6017422,RGA,csv/frh04/6017422.csv,672.8568687309203,50,8,temporary meadows,frh04
137,6017423,PPH,csv/frh04/6017423.csv,669.3233687841333,49,7,permanent meadows,frh04
138,6017424,PPH,csv/frh04/6017424.csv,658.6676934924914,49,7,permanent meadows,frh04
140,6017426,RGA,csv/frh04/6017426.csv,667.2382968002015,49,8,temporary meadows,frh04
142,6017427,PPH,csv/frh04/6017427.csv,675.84,50,7,permanent meadows,frh04
143,6017428,PPH,csv/frh04/6017428.csv,675.84,50,7,permanent meadows,frh04
146,6017431,PPH,csv/frh04/6017431.csv,668.734693877551,49,7,permanent meadows,frh04
147,6017432,MIE,csv/frh04/6017432.csv,649.006257315389,49,3,corn,frh04
148,6017433,RGA,csv/frh04/6017433.csv,647.9732111620158,49,8,temporary meadows,frh04
149,6017434,PTR,csv/frh04/6017434.csv,647.8367346938776,49,8,temporary meadows,frh04
150,6017435,PTR,csv/frh04/6017435.csv,647.8367346938776,49,8,temporary meadows,frh04
154,6017467,BTH,csv/frh04/6017467.csv,700.6442138137844,49,1,wheat,frh04
155,6017468,MIE,csv/frh04/6017468.csv,716.8933987002622,49,3,corn,frh04
156,6017442,MIE,csv/frh04/6017442.csv,696.4702410835954,49,3,corn,frh04
157,6017443,PRL,csv/frh04/6017443.csv,655.8369723435226,49,7,permanent meadows,frh04
158,6017444,PRL,csv/frh04/6017444.csv,652.4930439019109,49,7,permanent meadows,frh04
159,6017445,PTR,csv/frh04/6017445.csv,665.0868252626494,49,8,temporary meadows,frh04
161,6017447,PPH,csv/frh04/6017447.csv,655.7057518593818,49,7,permanent meadows,frh04
163,6017449,MIE,csv/frh04/6017449.csv,668.734693877551,49,3,corn,frh04
165,6017451,PPH,csv/frh04/6017451.csv,668.734693877551,49,7,permanent meadows,frh04
166,6017469,PTR,csv/frh04/6017469.csv,752.9411764705883,102,8,temporary meadows,frh04
167,6017568,MIE,csv/frh04/6017568.csv,675.84,50,3,corn,frh04
168,6017452,PRL,csv/frh04/6017452.csv,668.734693877551,49,7,permanent meadows,frh04
170,6017454,PRL,csv/frh04/6017454.csv,668.734693877551,49,7,permanent meadows,frh04
171,6017455,PRL,csv/frh04/6017455.csv,661.1824611032532,49,7,permanent meadows,frh04
172,6017456,PRL,csv/frh04/6017456.csv,730.0177387410662,49,7,permanent meadows,frh04
173,6017457,RGA,csv/frh04/6017457.csv,731.1395990199977,49,8,temporary meadows,frh04
174,6017458,PRL,csv/frh04/6017458.csv,731.4285714285714,49,7,permanent meadows,frh04
175,6017459,MIE,csv/frh04/6017459.csv,729.1139443596048,49,3,corn,frh04
176,6017460,MIE,csv/frh04/6017460.csv,718.9961067799705,49,3,corn,frh04
178,6017462,MIE,csv/frh04/6017462.csv,724.0889939269491,49,3,corn,frh04
181,6017465,BTH,csv/frh04/6017465.csv,716.8,50,1,wheat,frh04
182,6017466,BTH,csv/frh04/6017466.csv,716.8,50,1,wheat,frh04
183,6022268,BTH,csv/frh04/6022268.csv,731.0426577363063,49,1,wheat,frh04
184,6017470,MIE,csv/frh04/6017470.csv,797.725020119572,102,3,corn,frh04
185,6017471,MIE,csv/frh04/6017471.csv,793.3767483197246,102,3,corn,frh04
187,6017473,PPH,csv/frh04/6017473.csv,792.9219870496265,102,7,permanent meadows,frh04
188,6017474,MIE,csv/frh04/6017474.csv,762.4337164750957,102,3,corn,frh04
189,6017475,PTR,csv/frh04/6017475.csv,805.8837743949755,102,8,temporary meadows,frh04
190,6017476,PPH,csv/frh04/6017476.csv,821.1749628295605,102,7,permanent meadows,frh04
191,6017477,PTR,csv/frh04/6017477.csv,833.6463849254176,102,8,temporary meadows,frh04
192,6017478,PTR,csv/frh04/6017478.csv,786.5392816472347,102,8,temporary meadows,frh04
193,6017479,BTH,csv/frh04/6017479.csv,794.467806229908,50,1,wheat,frh04
194,6017480,BTH,csv/frh04/6017480.csv,737.28,50,1,wheat,frh04
195,6017481,BTH,csv/frh04/6017481.csv,737.28,50,1,wheat,frh04
197,6017483,MIE,csv/frh04/6017483.csv,711.1837172093024,50,3,corn,frh04
198,6017484,MIE,csv/frh04/6017484.csv,697.9504142973192,50,3,corn,frh04
199,6017485,ORH,csv/frh04/6017485.csv,669.0582308451168,50,0,barley,frh04
200,6017486,PPH,csv/frh04/6017486.csv,698.9467826086957,50,7,permanent meadows,frh04
201,6017532,PPH,csv/frh04/6017532.csv,773.0196078431372,102,7,permanent meadows,frh04
202,6017487,RGA,csv/frh04/6017487.csv,685.4535312640576,50,8,temporary meadows,frh04
203,6017488,RGA,csv/frh04/6017488.csv,706.2516900843035,50,8,temporary meadows,frh04
204,6017489,RGA,csv/frh04/6017489.csv,660.669259078326,50,8,temporary meadows,frh04
205,6017490,RGA,csv/frh04/6017490.csv,671.3931617906238,50,8,temporary meadows,frh04
207,6017492,RGA,csv/frh04/6017492.csv,665.6312195121951,50,8,temporary meadows,frh04
208,6017493,RGA,csv/frh04/6017493.csv,681.9404255319148,50,8,temporary meadows,frh04
209,6017494,RGA,csv/frh04/6017494.csv,683.8547329650091,50,8,temporary meadows,frh04
210,6017495,MIE,csv/frh04/6017495.csv,668.010239617568,50,3,corn,frh04
214,6017499,RGA,csv/frh04/6017499.csv,675.84,50,8,temporary meadows,frh04
216,6017501,MIE,csv/frh04/6017501.csv,661.1710095642932,50,3,corn,frh04
217,6017502,RGA,csv/frh04/6017502.csv,667.0923820699368,50,8,temporary meadows,frh04
218,6017562,PPH,csv/frh04/6017562.csv,789.7516339869281,102,7,permanent meadows,frh04
219,6017503,RGA,csv/frh04/6017503.csv,674.5115116530775,50,8,temporary meadows,frh04
221,6017505,PTR,csv/frh04/6017505.csv,570.5806284418529,49,8,temporary meadows,frh04
222,6017506,MIE,csv/frh04/6017506.csv,564.6123346041713,49,3,corn,frh04
223,6017507,PTR,csv/frh04/6017507.csv,606.0408163265306,49,8,temporary meadows,frh04
224,6017508,PPH,csv/frh04/6017508.csv,647.8367346938776,49,7,permanent meadows,frh04
226,6017510,PTR,csv/frh04/6017510.csv,606.0408163265306,49,8,temporary meadows,frh04
227,6017511,MIE,csv/frh04/6017511.csv,606.0408163265306,49,3,corn,frh04
228,6017512,MIE,csv/frh04/6017512.csv,606.0408163265306,49,3,corn,frh04
229,6017513,PPH,csv/frh04/6017513.csv,606.0408163265306,49,7,permanent meadows,frh04
230,6017514,PPH,csv/frh04/6017514.csv,606.0408163265306,49,7,permanent meadows,frh04
231,6017515,PTR,csv/frh04/6017515.csv,606.0408163265306,49,8,temporary meadows,frh04
232,6017516,PTR,csv/frh04/6017516.csv,564.2448979591836,49,8,temporary meadows,frh04
233,6017563,MIE,csv/frh04/6017563.csv,773.0196078431372,102,3,corn,frh04
234,6017517,PPH,csv/frh04/6017517.csv,661.3889563852297,49,7,permanent meadows,frh04
236,6017519,PPH,csv/frh04/6017519.csv,668.734693877551,49,7,permanent meadows,frh04
237,6017520,PTR,csv/frh04/6017520.csv,671.7407294333154,49,8,temporary meadows,frh04
238,6017521,PTR,csv/frh04/6017521.csv,633.6204359294738,49,8,temporary meadows,frh04
239,6017522,PPH,csv/frh04/6017522.csv,606.0408163265306,49,7,permanent meadows,frh04
241,6017524,PTR,csv/frh04/6017524.csv,567.3701404984104,49,8,temporary meadows,frh04
242,6017525,PTR,csv/frh04/6017525.csv,648.4331092722464,49,8,temporary meadows,frh04
244,6017527,ORP,csv/frh04/6017527.csv,837.618836236264,102,0,barley,frh04
245,6017528,PRL,csv/frh04/6017528.csv,790.6164521351686,102,7,permanent meadows,frh04
247,6017530,PPH,csv/frh04/6017530.csv,773.0196078431372,102,7,permanent meadows,frh04
248,6017531,PPH,csv/frh04/6017531.csv,814.5913483813173,102,7,permanent meadows,frh04
249,6017533,PPH,csv/frh04/6017533.csv,805.8242214532871,102,7,permanent meadows,frh04
250,6017534,PPH,csv/frh04/6017534.csv,773.0793428565179,102,7,permanent meadows,frh04
251,6017535,PPH,csv/frh04/6017535.csv,825.7111143603665,102,7,permanent meadows,frh04
253,6017537,PPH,csv/frh04/6017537.csv,841.955387952464,102,7,permanent meadows,frh04
255,6017539,MIE,csv/frh04/6017539.csv,774.05988874423,102,3,corn,frh04
257,6017541,PPH,csv/frh04/6017541.csv,806.2785578747628,102,7,permanent meadows,frh04
258,6017542,PPH,csv/frh04/6017542.csv,836.3168094017628,102,7,permanent meadows,frh04
259,6017543,PPH,csv/frh04/6017543.csv,835.2795062653012,102,7,permanent meadows,frh04
261,6017545,PTR,csv/frh04/6017545.csv,823.2156862745098,102,8,temporary meadows,frh04
264,6017548,PPH,csv/frh04/6017548.csv,792.9950729009553,102,7,permanent meadows,frh04
265,6017549,PPH,csv/frh04/6017549.csv,780.6198291228717,102,7,permanent meadows,frh04
266,6017550,PTR,csv/frh04/6017550.csv,791.4747616580022,102,8,temporary meadows,frh04
267,6017551,MIE,csv/frh04/6017551.csv,792.4451183732754,102,3,corn,frh04
268,6017552,PPH,csv/frh04/6017552.csv,788.4787681943943,102,7,permanent meadows,frh04
269,6017553,PTR,csv/frh04/6017553.csv,792.449438202247,102,8,temporary meadows,frh04
270,6017554,PPH,csv/frh04/6017554.csv,792.5598927186401,102,7,permanent meadows,frh04
272,6017556,MIE,csv/frh04/6017556.csv,765.7509683134033,102,3,corn,frh04
273,6017557,PPH,csv/frh04/6017557.csv,761.847104763098,102,7,permanent meadows,frh04
274,6017558,MIE,csv/frh04/6017558.csv,815.7691525018962,102,3,corn,frh04
275,6017559,MIE,csv/frh04/6017559.csv,788.0683644728886,102,3,corn,frh04
276,6017560,MIE,csv/frh04/6017560.csv,799.3571748132769,102,3,corn,frh04
277,6017561,MIE,csv/frh04/6017561.csv,792.1608933701957,102,3,corn,frh04
278,6017569,MIE,csv/frh04/6017569.csv,675.84,50,3,corn,frh04
279,6017570,PPH,csv/frh04/6017570.csv,769.2442403367776,104,7,permanent meadows,frh04
281,6017572,CZH,csv/frh04/6017572.csv,750.0642982778866,104,2,rapeseed,frh04
282,6017573,MIS,csv/frh04/6017573.csv,773.1971451229183,104,3,corn,frh04
283,6017574,MIS,csv/frh04/6017574.csv,750.8154942918392,104,3,corn,frh04
285,6017576,MIS,csv/frh04/6017576.csv,759.7534143049933,104,3,corn,frh04
286,6017577,MIS,csv/frh04/6017577.csv,767.8619890569681,104,3,corn,frh04
288,6017579,MIS,csv/frh04/6017579.csv,785.4932801396335,104,3,corn,frh04
290,6017581,MIE,csv/frh04/6017581.csv,803.9968108896451,102,3,corn,frh04
291,6017582,BTH,csv/frh04/6017582.csv,651.8749288135593,50,1,wheat,frh04
292,6017583,BTH,csv/frh04/6017583.csv,652.0036113837095,50,1,wheat,frh04
293,6017584,BTH,csv/frh04/6017584.csv,597.6797557032513,50,1,wheat,frh04
294,6017585,PPH,csv/frh04/6017585.csv,655.36,50,7,permanent meadows,frh04
296,6017587,BTH,csv/frh04/6017587.csv,634.88,50,1,wheat,frh04
298,6017589,RGA,csv/frh04/6017589.csv,614.7075844806008,50,8,temporary meadows,frh04
299,6017590,MIE,csv/frh04/6017590.csv,636.4565179856115,50,3,corn,frh04
302,6017593,BTH,csv/frh04/6017593.csv,618.3738181818183,50,1,wheat,frh04
303,6017594,RGA,csv/frh04/6017594.csv,605.3216806722689,50,8,temporary meadows,frh04
304,6017595,RGA,csv/frh04/6017595.csv,635.6931017369727,50,8,temporary meadows,frh04
305,6017596,RGA,csv/frh04/6017596.csv,589.4927782225781,50,8,temporary meadows,frh04
306,6017597,RGA,csv/frh04/6017597.csv,573.44,50,8,temporary meadows,frh04
307,6017598,RGA,csv/frh04/6017598.csv,635.552700729927,50,8,temporary meadows,frh04
308,6017599,RGA,csv/frh04/6017599.csv,598.5483443708608,50,8,temporary meadows,frh04
309,6017600,PPH,csv/frh04/6017600.csv,655.36,50,7,permanent meadows,frh04
310,6017601,PTR,csv/frh04/6017601.csv,573.44,50,8,temporary meadows,frh04
312,6017603,RGA,csv/frh04/6017603.csv,573.44,50,8,temporary meadows,frh04
315,6017606,MIE,csv/frh04/6017606.csv,640.1716907871514,50,3,corn,frh04
316,6017607,BTH,csv/frh04/6017607.csv,624.1327672253258,50,1,wheat,frh04
320,6017611,MIE,csv/frh04/6017611.csv,589.3548027261927,50,3,corn,frh04
321,6017612,PTR,csv/frh04/6017612.csv,575.2611544461778,50,8,temporary meadows,frh04
322,6017704,MIS,csv/frh04/6017704.csv,683.0211601250434,50,3,corn,frh04
323,6017613,RGA,csv/frh04/6017613.csv,576.9383629893238,50,8,temporary meadows,frh04
324,6017614,RGA,csv/frh04/6017614.csv,597.4936912751677,50,8,temporary meadows,frh04
325,6017615,RGA,csv/frh04/6017615.csv,621.2026966292135,50,8,temporary meadows,frh04
326,6017616,MIE,csv/frh04/6017616.csv,607.1019755987347,50,3,corn,frh04
328,6017618,MIE,csv/frh04/6017618.csv,655.36,50,3,corn,frh04
331,6017621,RGA,csv/frh04/6017621.csv,653.2786991869918,50,8,temporary meadows,frh04
332,6017622,BTH,csv/frh04/6017622.csv,585.1428571428571,49,1,wheat,frh04
333,6017623,PPH,csv/frh04/6017623.csv,603.4912262485723,49,7,permanent meadows,frh04
335,6017625,PPH,csv/frh04/6017625.csv,614.4443430549978,49,7,permanent meadows,frh04
336,6017626,PTR,csv/frh04/6017626.csv,817.5239372102118,102,8,temporary meadows,frh04
337,6017638,MIE,csv/frh04/6017638.csv,802.6825034812389,102,3,corn,frh04
338,6017627,MIE,csv/frh04/6017627.csv,809.8427359482474,102,3,corn,frh04
340,6017629,PTR,csv/frh04/6017629.csv,806.0505496026627,102,8,temporary meadows,frh04
341,6017630,PTR,csv/frh04/6017630.csv,805.227996237961,102,8,temporary meadows,frh04
342,6017631,PPH,csv/frh04/6017631.csv,790.1711173944916,102,7,permanent meadows,frh04
344,6017633,PPH,csv/frh04/6017633.csv,797.1455399061033,102,7,permanent meadows,frh04
345,6017634,PTR,csv/frh04/6017634.csv,799.6287730666816,102,8,temporary meadows,frh04
346,6017635,RGA,csv/frh04/6017635.csv,782.6045676137101,102,8,temporary meadows,frh04
347,6017636,PPH,csv/frh04/6017636.csv,794.3251532676844,102,7,permanent meadows,frh04
348,6017637,MIE,csv/frh04/6017637.csv,811.5006977701474,102,3,corn,frh04
349,6017639,MIE,csv/frh04/6017639.csv,797.7469721403008,102,3,corn,frh04
350,6017640,MIE,csv/frh04/6017640.csv,804.404768942753,102,3,corn,frh04
351,6017641,PTR,csv/frh04/6017641.csv,772.5002756690275,102,8,temporary meadows,frh04
352,6017642,MIE,csv/frh04/6017642.csv,680.4522862869945,50,3,corn,frh04
354,6017644,PTR,csv/frh04/6017644.csv,757.146058165548,50,8,temporary meadows,frh04
355,6017645,PTR,csv/frh04/6017645.csv,755.2093226511289,50,8,temporary meadows,frh04
356,6017646,BTH,csv/frh04/6017646.csv,730.7332144979205,50,1,wheat,frh04
357,6017647,PTR,csv/frh04/6017647.csv,749.6105190311418,50,8,temporary meadows,frh04
361,6017651,PTR,csv/frh04/6017651.csv,757.2607658058772,50,8,temporary meadows,frh04
362,6017652,PTR,csv/frh04/6017652.csv,745.5195357833655,50,8,temporary meadows,frh04
364,6017654,BTH,csv/frh04/6017654.csv,699.0614173228346,50,1,wheat,frh04
365,6017655,MIE,csv/frh04/6017655.csv,716.9609929664874,50,3,corn,frh04
367,6017672,MIS,csv/frh04/6017672.csv,716.8,50,3,corn,frh04
368,6017705,MIS,csv/frh04/6017705.csv,698.1270588235294,50,3,corn,frh04
369,6017657,BTH,csv/frh04/6017657.csv,815.922364933741,50,1,wheat,frh04
370,6017658,PTR,csv/frh04/6017658.csv,839.68,50,8,temporary meadows,frh04
371,6017659,MIE,csv/frh04/6017659.csv,752.3265306122449,49,3,corn,frh04
372,6017660,ORH,csv/frh04/6017660.csv,661.5153637484586,50,0,barley,frh04
373,6017661,MIS,csv/frh04/6017661.csv,698.688266483951,50,3,corn,frh04
374,6017662,CZH,csv/frh04/6017662.csv,675.7798144916887,50,2,rapeseed,frh04
375,6017663,MIS,csv/frh04/6017663.csv,670.7235929824561,50,3,corn,frh04
376,6017664,PTR,csv/frh04/6017664.csv,672.3395918367346,50,8,temporary meadows,frh04
377,6017665,PTR,csv/frh04/6017665.csv,675.84,50,8,temporary meadows,frh04
378,6017666,BTH,csv/frh04/6017666.csv,698.7970930332446,50,1,wheat,frh04
379,6017667,BTH,csv/frh04/6017667.csv,685.8074669644519,50,1,wheat,frh04
380,6017668,MIS,csv/frh04/6017668.csv,709.5892775112661,50,3,corn,frh04
381,6017669,ORH,csv/frh04/6017669.csv,756.0305637387213,50,0,barley,frh04
390,6017678,ORH,csv/frh04/6017678.csv,761.9968349877715,50,0,barley,frh04
391,6017679,PTR,csv/frh04/6017679.csv,710.846511627907,50,8,temporary meadows,frh04
392,6017680,PTR,csv/frh04/6017680.csv,716.8,50,8,temporary meadows,frh04
394,6017682,PTR,csv/frh04/6017682.csv,714.5495075325991,50,8,temporary meadows,frh04
396,6017684,BTH,csv/frh04/6017684.csv,705.4687932251235,50,1,wheat,frh04
397,6017685,BTH,csv/frh04/6017685.csv,692.4870874861573,50,1,wheat,frh04
398,6017686,BTH,csv/frh04/6017686.csv,770.5619349962208,50,1,wheat,frh04
400,6017688,BTH,csv/frh04/6017688.csv,757.76,50,1,wheat,frh04
402,6017690,ORH,csv/frh04/6017690.csv,688.9141990521327,50,0,barley,frh04
404,6017692,ORH,csv/frh04/6017692.csv,688.872239119035,50,0,barley,frh04
406,6017694,MIS,csv/frh04/6017694.csv,675.84,50,3,corn,frh04
408,6017696,MIS,csv/frh04/6017696.csv,675.84,50,3,corn,frh04
410,6017698,CZH,csv/frh04/6017698.csv,696.32,50,2,rapeseed,frh04
411,6017699,BTH,csv/frh04/6017699.csv,691.7946409387223,50,1,wheat,frh04
415,6017703,MIS,csv/frh04/6017703.csv,676.8393560165975,50,3,corn,frh04
417,6017707,BTH,csv/frh04/6017707.csv,723.1618039039713,50,1,wheat,frh04
419,6017709,BTH,csv/frh04/6017709.csv,716.8,50,1,wheat,frh04
421,6017711,BTH,csv/frh04/6017711.csv,706.2108098891731,50,1,wheat,frh04
422,6017712,BTH,csv/frh04/6017712.csv,697.6252361302155,50,1,wheat,frh04
423,6017713,BTH,csv/frh04/6017713.csv,716.5710132774283,50,1,wheat,frh04
424,6017714,PTR,csv/frh04/6017714.csv,710.530612244898,49,8,temporary meadows,frh04
425,6017715,PTR,csv/frh04/6017715.csv,710.530612244898,49,8,temporary meadows,frh04
426,6017716,BTH,csv/frh04/6017716.csv,710.6997042423385,49,1,wheat,frh04
