Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2024","2024","t","2180","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2019","2019","ha","50370","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2019","2019","kg/ha","34812.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2019","2019","t","1753500","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2020","2020","ha","54710","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2020","2020","kg/ha","31865.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2020","2020","t","1743360","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2021","2021","ha","54210","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2021","2021","kg/ha","30125.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2021","2021","t","1633080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2022","2022","ha","54020","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2022","2022","kg/ha","33055.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2022","2022","t","1785660","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2023","2023","ha","53800","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2023","2023","kg/ha","35212.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2023","2023","t","1894440","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01341","Apples","2024","2024","ha","52760","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01341","Apples","2024","2024","kg/ha","37225.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01341","Apples","2024","2024","t","1964030","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2019","2019","ha","12280","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2019","2019","kg/ha","10977.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2019","2019","t","134800","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2020","2020","ha","12080","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2020","2020","kg/ha","7057.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2020","2020","t","85260","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2021","2021","ha","11880","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2021","2021","kg/ha","4595.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2021","2021","t","54590","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2022","2022","ha","11360","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2022","2022","kg/ha","11274.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2022","2022","t","128080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2023","2023","ha","11120","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2023","2023","kg/ha","11491","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2023","2023","t","127780","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01343","Apricots","2024","2024","ha","10500","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01343","Apricots","2024","2024","kg/ha","7881.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01343","Apricots","2024","2024","t","82760","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2019","2019","ha","5460","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2019","2019","kg/ha","6965.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2019","2019","t","38030","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2020","2020","ha","4920","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2020","2020","kg/ha","5453.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2020","2020","t","26830","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2021","2021","ha","4780","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2021","2021","kg/ha","6138.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2021","2021","t","29340","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2022","2022","ha","4710","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2022","2022","kg/ha","4617.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2022","2022","t","21750","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2023","2023","ha","4100","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2023","2023","kg/ha","5690.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2023","2023","t","23330","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01216","Artichokes","2024","2024","ha","3670","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01216","Artichokes","2024","2024","kg/ha","5871.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01216","Artichokes","2024","2024","t","21550","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2019","2019","ha","4850","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2019","2019","kg/ha","4121.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2019","2019","t","19990","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2020","2020","ha","6300","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2020","2020","kg/ha","4247.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2020","2020","t","26760","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2021","2021","ha","6530","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2021","2021","kg/ha","3952.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2021","2021","t","25810","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2022","2022","ha","6610","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2022","2022","kg/ha","3971.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2022","2022","t","26250","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2023","2023","ha","6670","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2023","2023","kg/ha","4099","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2023","2023","t","27340","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2024","2024","ha","7400","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01211","Asparagus","2024","2024","kg/ha","3725.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01211","Asparagus","2024","2024","t","27570","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2019","2019","ha","240","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2019","2019","kg/ha","8666.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2019","2019","t","2080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2020","2020","ha","130","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2020","2020","kg/ha","8307.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2020","2020","t","1080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2021","2021","ha","130","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2021","2021","kg/ha","8461.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2021","2021","t","1100","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2022","2022","ha","130","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2022","2022","kg/ha","8307.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2022","2022","t","1080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2023","2023","ha","150","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2023","2023","kg/ha","8066.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2023","2023","t","1210","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01311","Avocados","2024","2024","ha","190","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01311","Avocados","2024","2024","kg/ha","7789.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01311","Avocados","2024","2024","t","1480","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2019","2019","ha","7780","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2019","2019","kg/ha","26590","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2019","2019","t","206870","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2020","2020","ha","11580","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2020","2020","kg/ha","18319.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2020","2020","t","212140","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2021","2021","ha","11480","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2021","2021","kg/ha","19939","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2021","2021","t","228900","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2022","2022","ha","10900","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2022","2022","kg/ha","20690.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2022","2022","t","225530","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2023","2023","ha","10900","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2023","2023","kg/ha","19491.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2023","2023","t","212460","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01312","Bananas","2024","2024","ha","11010","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01312","Bananas","2024","2024","kg/ha","19157.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01312","Bananas","2024","2024","t","210920","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2019","2019","ha","1944190","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2019","2019","kg/ha","6977.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2019","2019","t","13565420","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2020","2020","ha","1974160","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2020","2020","kg/ha","5205.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2020","2020","t","10277230","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2021","2021","ha","1730370","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2021","2021","kg/ha","6542.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2021","2021","t","11321320","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2022","2022","ha","1866520","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2022","2022","kg/ha","6046.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2022","2022","t","11285440","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2023","2023","ha","1815490","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2023","2023","kg/ha","6688.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2023","2023","t","12143490","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2024","2024","ha","1808500","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2024","2024","kg/ha","5346.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2024","2024","t","9669250","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","24310.01","Beer of barley, malted","2019","2019","t","2230000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","24310.01","Beer of barley, malted","2020","2020","t","2160000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","2180000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","2250000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5510","Production","24310.01","Beer of barley, malted","2023","2023","t","2160000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","250","France","5114","Stocks","02196","Bees","2019","2019","No","1584000","A","Official value",""
"QCL","Crops and livestock products","250","France","5114","Stocks","02196","Bees","2020","2020","No","1751000","A","Official value",""
"QCL","Crops and livestock products","250","France","5114","Stocks","02196","Bees","2021","2021","No","1808000","A","Official value",""
"QCL","Crops and livestock products","250","France","5114","Stocks","02196","Bees","2022","2022","No","1756832","A","Official value",""
"QCL","Crops and livestock products","250","France","5114","Stocks","02196","Bees","2023","2023","No","1792000","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2019","2019","ha","2400","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2020","2020","ha","2116","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01355.01","Blueberries","2020","2020","kg/ha","3724.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2020","2020","t","7881","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2021","2021","ha","2237","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01355.01","Blueberries","2021","2021","kg/ha","3580.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2021","2021","t","8009","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2022","2022","ha","2292","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01355.01","Blueberries","2022","2022","kg/ha","3320.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2022","2022","t","7611","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2023","2023","ha","2485","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","4243.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2023","2023","t","10545","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01355.01","Blueberries","2024","2024","ha","2579","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01355.01","Blueberries","2024","2024","kg/ha","3342.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01355.01","Blueberries","2024","2024","t","8621","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2019","2019","ha","63110","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2019","2019","kg/ha","2810.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2019","2019","t","177380","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","76350","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2020","2020","kg/ha","1933.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2020","2020","t","147610","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2021","2021","ha","78000","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2021","2021","kg/ha","2361.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2021","2021","t","184200","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2022","2022","ha","68090","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2022","2022","kg/ha","2318.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","157850","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2023","2023","ha","80230","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2023","2023","kg/ha","2696.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","216320","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01702","Broad beans and horse beans, dry","2024","2024","ha","80440","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01702","Broad beans and horse beans, dry","2024","2024","kg/ha","2689.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01702","Broad beans and horse beans, dry","2024","2024","t","216350","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2019","2019","ha","6470","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2019","2019","kg/ha","5697.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2019","2019","t","36860","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2020","2020","ha","6470","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2020","2020","kg/ha","5020.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2020","2020","t","32480","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2021","2021","ha","9110","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2021","2021","kg/ha","5364.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2021","2021","t","48870","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2022","2022","ha","8030","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2022","2022","kg/ha","4856.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2022","2022","t","39000","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2023","2023","ha","7090","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2023","2023","kg/ha","6191.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2023","2023","t","43900","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01243","Broad beans and horse beans, green","2024","2024","ha","7610","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01243","Broad beans and horse beans, green","2024","2024","kg/ha","5411.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01243","Broad beans and horse beans, green","2024","2024","t","41180","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22241.01","Butter of cow milk","2019","2019","t","419220","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22241.01","Butter of cow milk","2020","2020","t","417540","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22241.01","Butter of cow milk","2021","2021","t","410180","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22241.01","Butter of cow milk","2022","2022","t","412730","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22241.01","Butter of cow milk","2023","2023","t","403970","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22230.04","Buttermilk, dry","2019","2019","t","26220","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22230.04","Buttermilk, dry","2020","2020","t","26240","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22230.04","Buttermilk, dry","2021","2021","t","28470","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","26750","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","22230.04","Buttermilk, dry","2023","2023","t","26950","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2019","2019","ha","6700","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2019","2019","kg/ha","24374.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2019","2019","t","163310","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2020","2020","ha","8450","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2020","2020","kg/ha","24336.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2020","2020","t","205640","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2021","2021","ha","7500","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2021","2021","kg/ha","25329.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2021","2021","t","189970","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2022","2022","ha","7520","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2022","2022","kg/ha","21698.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2022","2022","t","163170","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2023","2023","ha","7910","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2023","2023","kg/ha","22208.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2023","2023","t","175670","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01212","Cabbages","2024","2024","ha","8320","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01212","Cabbages","2024","2024","kg/ha","22671.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01212","Cabbages","2024","2024","t","188630","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01229","Cantaloupes and other melons","2019","2019","ha","13120","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01229","Cantaloupes and other melons","2019","2019","kg/ha","18872.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01229","Cantaloupes and other melons","2019","2019","t","247610","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","14110","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01229","Cantaloupes and other melons","2020","2020","kg/ha","20590.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","290530","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01229","Cantaloupes and other melons","2021","2021","ha","13910","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01229","Cantaloupes and other melons","2021","2021","kg/ha","19460.8","A","Official value",""
